127.0.0.1 - - [13/Nov/2024:11:06:01 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:06:03 +0700] "GET /ASM_1/views/home.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-brand HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-subcategory HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-status HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-default?pageNo=1&pageSize=5&sortBy=id:asc HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-status HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-brand HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-subcategory HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [13/Nov/2024:11:10:05 +0700] "GET /product/list-default?pageNo=1&pageSize=5&sortBy=id:asc HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-brand HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-default?pageNo=1&pageSize=5&sortBy=id:asc HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-subcategory HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-status HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-subcategory HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-default?pageNo=1&pageSize=5&sortBy=id:asc HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-status HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Nov/2024:23:02:39 +0700] "GET /product/list-brand HTTP/1.1" 404 774
